area,equivalentDiameter,ellipse minor axis,ellipse major axis
14186.5,134.39796427545093,106.56735229492188,173.45553588867188
16910.0,146.73268450304997,115.96033477783203,197.66165161132812
20360.5,161.0086760102706,128.3067169189453,208.11257934570312
21134.5,164.0404863386027,132.8712921142578,211.10345458984375
20408.5,161.19835374074876,127.4035873413086,217.3787078857422
18740.0,154.46847273258368,123.29766845703125,210.50213623046875
17059.0,147.37772353255136,118.72952270507812,199.5684051513672
15193.0,139.08388980453964,112.28485107421875,178.72933959960938
13597.0,131.57597839181742,103.10794830322266,174.39955139160156
14575.0,136.22579184763433,108.20417022705078,185.38299560546875
19746.0,158.56036090505256,127.2342300415039,208.69215393066406
21024.0,163.61108821993716,133.46543884277344,209.8495330810547
20006.0,159.60084690242613,125.37200164794922,214.4993438720703
18079.0,151.71980005677244,119.87246704101562,209.8848876953125
16514.0,145.00440628393497,116.93904876708984,192.33206176757812
14428.0,135.53708035603736,107.44207763671875,174.37417602539062
13888.0,132.9765046813983,102.43646240234375,178.63754272460938
14842.0,137.46789197103186,107.6783676147461,189.664794921875
19956.0,159.4012809068199,128.47174072265625,210.87481689453125
20942.5,163.29365929397304,129.40953063964844,214.9124755859375
19160.5,156.19188934415925,122.8515853881836,213.8722381591797
17497.5,149.25987047429564,118.90081024169922,197.36785888671875
15417.0,140.10543908493347,112.3386001586914,181.76866149902344
13831.5,132.7057374909028,104.46769714355469,171.288818359375
14797.0,137.25933681701295,107.50338745117188,182.68397521972656
17362.5,148.68295664084792,121.82247161865234,195.57876586914062
20739.0,162.4983535863134,131.9447479248047,210.04293823242188
21252.0,164.49585649709138,133.44967651367188,211.19419860839844
19312.0,156.80816971039954,124.20774841308594,216.837890625
16885.0,146.62417847290132,117.38931274414062,193.96189880371094
16295.5,144.04192098563476,119.90335845947266,187.02874755859375
14084.0,133.9115594265485,105.19327545166016,174.75070190429688
14628.0,136.47325034740675,107.23957824707031,184.7952117919922
17852.0,150.76429402418904,119.72549438476562,201.79014587402344
20933.5,163.25856795192567,133.1849365234375,212.5727081298828
21604.5,165.85446555408396,135.40737915039062,212.2757568359375
20177.5,160.2834704949133,128.21949768066406,212.5522003173828
16971.5,146.9992684793799,117.35935974121094,191.2948455810547
15106.0,138.68509856062175,110.35820007324219,177.57960510253906
